GEOID20,COLOR,Client_Perspective,DISTRICT,DISTRICT_C,DISTRICT_N,District_Tax_rate,District_Valuation,FID,NAME,NAME2,NAME20,NCES_DISTR,Office_Controller,Pfluger_Tier_Rank,SDLEA
4808340,4,,043-902,043902,43902,0.5,3242357929,992,Anna ISD,Anna,Anna Independent School District,4808340,DFW,,08340
4808400,4,,127-901,127901,127901,0.125,205045637,252,Anson ISD,Anson,Anson Independent School District,4808400,UNCATEGORIZED,,08400
4808430,3,,071-906,071906,71906,0.1142,219738982,890,Anthony ISD,Anthony,Anthony Independent School District,4808430,UNCATEGORIZED,,08430
4808460,5,c,110-901,110901,110901,0.4812,935639850,458,Anton ISD,Anton,Anton Independent School District,4808460,SAN ANTONIO,3,08460
4808490,3,,228-905,228905,228905,0.4,87974658,506,Apple Springs ISD,Apple Springs,Apple Springs Independent School District,4808490,HOUSTON,,08490
4808520,7,,109-912,109912,109912,0.2701,135895912,825,Aquilla ISD,Aquilla,Aquilla Independent School District,4808520,DFW,,08520
4808550,2,,004-901,004901,4901,n/a,800109596,98,Rockport-Fulton ISD,Rockport-Fulton,Rockport-Fulton Independent School District,4808550,CORPUS CHRISTI,,08550
4808580,5,,205-901,205901,205901,0.1365,379438562,268,Aransas Pass ISD,Aransas Pass,Aransas Pass Independent School District,4808580,CORPUS CHRISTI,,08580
4808610,7,,005-901,005901,5901,0.3,4792048585,726,Archer City ISD,Archer City,Archer City Independent School District,4808610,DFW,,08610
4808670,6,,061-910,061910,61910,0.5,37004870029,851,Argyle ISD,Argyle,Argyle Independent School District,4808670,DFW,,08670
4808700,6,,220-901,220901,220901,0.3007,492236799,873,Arlington ISD,Arlington,Arlington Independent School District,4808700,DFW,,08700
4808730,4,,212-901,212901,212901,0,122213726,720,Arp ISD,Arp,Arp Independent School District,4808730,SAN ANTONIO,,08730
4808870,3,,107-901,107901,107901,0.399,594563969,198,Athens ISD,Athens,Athens Independent School District,4808870,DFW,,08870
4808880,7,,034-901,034901,34901,0.1387,2632163182,675,Atlanta ISD,Atlanta,Atlanta Independent School District,4808880,DFW,,08880
4808910,4,,061-907,061907,61907,0.5,188686329497,995,Aubrey ISD,Aubrey,Aubrey Independent School District,4808910,DFW,,08910
4808940,3,C,227-901,227901,227901,0.113,310033904,902,Austin ISD,Austin,Austin Independent School District,4808940,AUSTIN,2,08940
4809000,3,,196-901,196901,196901,0.346,84736579,449,Austwell-Tivoli ISD,Austwell-Tivoli,Austwell-Tivoli Independent School District,4809000,CORPUS CHRISTI,,09000
4809030,3,,070-901,070901,70901,0.0547,66116130,123,Avalon ISD,Avalon,Avalon Independent School District,4809030,DFW,,09030
4809060,5,,194-902,194902,194902,0,130001226,660,Avery ISD,Avery,Avery Independent School District,4809060,DFW,,09060
4809090,3,,034-902,034902,34902,0,236625614,671,Avinger ISD,Avinger,Avinger Independent School District,4809090,DFW,,09090
4809150,2,,161-918,161918,161918,0,4327524353,780,Axtell ISD,Axtell,Axtell Independent School District,4809150,DFW,,09150
4809200,3,,220-915,220915,220915,0.2741,499162497,872,Azle ISD,Azle,Azle Independent School District,4809200,DFW,,09200
4809280,2,,030-903,030903,30903,0.2582,396800960,296,Baird ISD,Baird,Baird Independent School District,4809280,UNCATEGORIZED,,09280
4809300,6,,200-901,200901,200901,0,991594915,446,Ballinger ISD,Ballinger,Ballinger Independent School District,4809300,AUSTIN,,09300
4809330,7,,195-902,195902,195902,0.493,2375914606,132,Balmorhea ISD,Balmorhea,Balmorhea Independent School District,4809330,UNCATEGORIZED,,09330
4809360,7,p,010-902,010902,10902,0.1238,512251655,755,Bandera ISD,Bandera,Bandera Independent School District,4809360,SAN ANTONIO,,09360
4809390,6,,025-901,025901,25901,0.1039,784041523,317,Bangs ISD,Bangs,Bangs Independent School District,4809390,AUSTIN,,09390
4809410,2,,178-913,178913,178913,0.2783,9686948353,328,Banquete ISD,Banquete,Banquete Independent School District,4809410,CORPUS CHRISTI,,09410
4809450,4,,036-902,036902,36902,0.2899,194321788,570,Barbers Hill ISD,Barbers Hill,Barbers Hill Independent School District,4809450,HOUSTON,,09450
4809540,5,,014-902,014902,14902,0.5,7678368117,626,Bartlett ISD,Bartlett,Bartlett Independent School District,4809540,AUSTIN,,09540
4809570,6,P,011-901,011901,11901,0.401,1706399425,683,Bastrop ISD,Bastrop,Bastrop Independent School District,4809570,AUSTIN,,09570
4809630,1,,158-901,158901,158901,0.3838,12568731570,246,Bay City ISD,Bay City,Bay City Independent School District,4809630,HOUSTON,,09630
4809670,4,,123-910,123910,123910,0.2526,557940014,963,Beaumont ISD,Beaumont,Beaumont Independent School District,4809670,HOUSTON,,09670
4809690,7,,183-901,183901,183901,0.2827,1044386357,12,Beckville ISD,Beckville,Beckville Independent School District,4809690,DFW,,09690
4809720,2,C,013-901,013901,13901,0.1691,175290876,540,Beeville ISD,Beeville,Beeville Independent School District,4809720,CORPUS CHRISTI,1,09720
4809750,1,,039-904,039904,39904,0.25,387700487,746,Bellevue ISD,Bellevue,Bellevue Independent School District,4809750,DFW,,09750
4809780,6,,091-901,091901,91901,0.3156,1689184457,682,Bells ISD,Bells,Bells Independent School District,4809780,DFW,,09780
4809810,5,,008-901,008901,8901,0.1935,5662325652,518,Bellville ISD,Bellville,Bellville Independent School District,4809810,HOUSTON,,09810
4809860,4,P,014-903,014903,14903,0.3942,128424907,778,Belton ISD,Belton,Belton Independent School District,4809860,AUSTIN,,09860
4809870,5,,125-902,125902,125902,0.3182,326620457,186,Ben Bolt-Palito Blanco ISD,Ben Bolt-Palito Blanco,Ben Bolt-Palito Blanco Independent School District,4809870,CORPUS CHRISTI,,09870
4809980,5,,138-904,138904,138904,0.2974,222271862,590,Benjamin ISD,Benjamin,Benjamin Independent School District,4809980,DFW,,09980
4810140,3,,230-901,230901,230901,0.1407,320235524,715,Big Sandy ISD (Upshur),Big Sandy (Upshur),Big Sandy Independent School District,4810140,HOUSTON,,10140
4810170,2,,187-901,187901,187901,0.1407,320235524,940,Big Sandy ISD (Polk),Big Sandy (Polk),Big Sandy Independent School District,4810170,HOUSTON,,10170
4810200,1,,114-901,114901,114901,0.4,87974658,278,Big Spring ISD,Big Spring,Big Spring Independent School District,4810200,HOUSTON,,10200
4810230,4,,220-902,220902,220902,0.4139,939987725,875,Birdville ISD,Birdville,Birdville Independent School District,4810230,DFW,,10230
4810260,7,,178-902,178902,178902,0.2519,676970919,110,Bishop Cons ISD,Bishop Cons,Bishop Consolidated Independent School District,4810260,CORPUS CHRISTI,,10260
4810320,4,,016-902,016902,16902,0.3182,326620457,522,Blanco ISD,Blanco,Blanco Independent School District,4810320,CORPUS CHRISTI,,10320
4810350,2,,116-915,116915,116915,0.1711,91419861,793,Bland ISD,Bland,Bland Independent School District,4810350,DFW,,10350
4810380,5,,025-904,025904,25904,0.0646,59646595,96,Blanket ISD,Blanket,Blanket Independent School District,4810380,AUSTIN,,10380
4810440,6,,034-909,034909,34909,0.11,393507134,663,Bloomburg ISD,Bloomburg,Bloomburg Independent School District,4810440,DFW,,10440
4810470,6,,175-902,175902,175902,0.0397,324594349,291,Blooming Grove ISD,Blooming Grove,Blooming Grove Independent School District,4810470,DFW,,10470
4810500,6,,235-901,235901,235901,0.2617,472460660,430,Bloomington ISD,Bloomington,Bloomington Independent School District,4810500,CORPUS CHRISTI,,10500
4810590,1,,043-917,043917,43917,0.5,284832593,990,Blue Ridge ISD,Blue Ridge,Blue Ridge Independent School District,4810590,DFW,,10590
4810620,5,,072-904,072904,72904,0.1251,258682080,627,Bluff Dale ISD,Bluff Dale,Bluff Dale Independent School District,4810620,DFW,,10620
4810650,5,,109-913,109913,109913,0.2424,10741910585,376,Blum ISD,Blum,Blum Independent School District,4810650,DFW,,10650
4810710,5,c,130-901,130901,130901,0.324,38863273,919,Boerne ISD,Boerne,Boerne Independent School District,4810710,SAN ANTONIO,1,10710
4810740,2,,116-916,116916,116916,0.25,483190791,372,Boles ISD,Boles,Boles Independent School District,4810740,DFW,,10740
4810780,5,,241-901,241901,241901,0,1432287048,554,Boling ISD,Boling,Boling Independent School District,4810780,HOUSTON,,10780
4810800,2,,074-903,074903,74903,0.3419,188509197,679,Bonham ISD,Bonham,Bonham Independent School District,4810800,DFW,,10800
4810830,7,,148-901,148901,148901,0,1041364107,807,Booker ISD,Booker,Booker Independent School District,4810830,UNCATEGORIZED,,10830
4810860,3,,017-901,017901,17901,0.2354,717241682,30,Borden County ISD,Borden County,Borden County Independent School District,4810860,DFW - LUBBOCK,,10860
4810890,2,,117-901,117901,117901,0.4129,264585433,951,Borger ISD,Borger,Borger Independent School District,4810890,UNCATEGORIZED,,10890
4810910,7,,161-923,161923,161923,0.2043,173410429,786,Bosqueville ISD,Bosqueville,Bosqueville Independent School District,4810910,DFW,,10910
4810950,2,,185-901,185901,185901,0,1158447484,82,Bovina ISD,Bovina,Bovina Independent School District,4810950,DFW - LUBBOCK,,10950
4810990,4,,169-901,169901,169901,0.18,1299424363,748,Bowie ISD,Bowie,Bowie Independent School District,4810990,DFW,,10990
4811010,1,,249-902,249902,249902,0.19,907409648,861,Boyd ISD,Boyd,Boyd Independent School District,4811010,DFW,,11010
4811040,7,,180-901,180901,180901,0,0,2,Boys Ranch ISD,Boys Ranch,Boys Ranch Independent School District,4811040,UNCATEGORIZED,,11040
4811070,2,,136-901,136901,136901,0,499905460,192,Brackett ISD,Brackett,Brackett Independent School District,4811070,SAN ANTONIO,,11070
4811110,3,,160-901,160901,160901,0.2906,602817351,516,Brady ISD,Brady,Brady Independent School District,4811110,AUSTIN,,11110
4811190,7,,020-905,020905,20905,0.29,11044830788,160,Brazosport ISD,Brazosport,Brazosport Independent School District,4811190,HOUSTON,,11190
4811220,4,,215-901,215901,215901,0,342539224,207,Breckenridge ISD,Breckenridge,Breckenridge Independent School District,4811220,UNCATEGORIZED,,11220
4811250,2,,198-901,198901,198901,0.2953,4188286030,643,Bremond ISD,Bremond,Bremond Independent School District,4811250,AUSTIN,,11250
4811280,1,,239-901,239901,239901,0.08,1328863059,517,Brenham ISD,Brenham,Brenham Independent School District,4811280,HOUSTON,,11280
4811310,4,,181-901,181901,181901,0.192,1905930846,967,Bridge City ISD,Bridge City,Bridge City Independent School District,4811310,HOUSTON,,11310
4811340,6,C,249-903,249903,249903,0.2065,668134655,275,Bridgeport ISD,Bridgeport,Bridgeport Independent School District,4811340,DFW,1,11340
4811400,2,,242-906,242906,242906,0.1,296864394,808,Fort Elliott Cons ISD,Fort Elliott Cons,Fort Elliott Consolidated Independent School District,4811400,UNCATEGORIZED,,11400
4811430,5,,203-902,203902,203902,0.16,1257493288,813,Broaddus ISD,Broaddus,Broaddus Independent School District,4811430,DFW,,11430
4811460,6,,184-909,184909,184909,0.4474,196851379,341,Brock ISD,Brock,Brock Independent School District,4811460,DFW,,11460
4811490,7,,041-901,041901,41901,0,488919051,36,Bronte ISD,Bronte,Bronte Independent School District,4811490,UNCATEGORIZED,,11490
4811520,1,,121-902,121902,121902,0,160874005,811,Brookeland ISD,Brookeland,Brookeland Independent School District,4811520,HOUSTON,,11520
4811550,3,,025-908,025908,25908,0.0545,525450915,38,Brookesmith ISD,Brookesmith,Brookesmith Independent School District,4811550,AUSTIN,,11550
4811580,6,,024-901,024901,24901,0.4156,596660001,266,Brooks County ISD,Brooks County,Brooks County Independent School District,4811580,CORPUS CHRISTI,,11580
4811610,5,,223-901,223901,223901,0.49,1133209616,215,Brownfield ISD,Brownfield,Brownfield Independent School District,4811610,DFW - LUBBOCK,,11610
4811640,2,,107-902,107902,107902,0.28,8451452776,707,Brownsboro ISD,Brownsboro,Brownsboro Independent School District,4811640,DFW,,11640
4811680,5,,031-901,031901,31901,0.1518,1810206090,489,Brownsville ISD,Brownsville,Brownsville Independent School District,4811680,CORPUS CHRISTI,,11680
4811700,7,,025-902,025902,25902,0.1785,268008724,97,Brownwood ISD,Brownwood,Brownwood Independent School District,4811700,AUSTIN,,11700
4811730,6,,161-919,161919,161919,0.1395,11986442267,789,Bruceville-Eddy ISD,Bruceville-Eddy,Bruceville-Eddy Independent School District,4811730,AUSTIN,,11730
4811790,3,,021-902,021902,21902,0.275,223073760,1012,Bryan ISD,Bryan,Bryan Independent School District,4811790,HOUSTON,,11790
4811820,6,,119-901,119901,119901,0.44,54271077,35,Bryson ISD,Bryson,Bryson Independent School District,4811820,DFW,,11820
4811850,5,,166-907,166907,166907,0.0548,1205312423,606,Buckholts ISD,Buckholts,Buckholts Independent School District,4811850,AUSTIN,,11850
4811910,5,,186-901,186901,186901,0.37,674996156,235,Buena Vista ISD,Buena Vista,Buena Vista Independent School District,4811910,UNCATEGORIZED,,11910
4811990,7,,145-901,145901,145901,0.26,1631190478,173,Buffalo ISD,Buffalo,Buffalo Independent School District,4811990,HOUSTON,,11990
4812060,7,,212-902,212902,212902,0.5,420323063,708,Bullard ISD,Bullard,Bullard Independent School District,4812060,DFW,,12060
4812090,7,,121-903,121903,121903,0.4471,981469819,961,Buna ISD,Buna,Buna Independent School District,4812090,HOUSTON,,12090
4812120,7,,243-901,243901,243901,0.3431,301232236,705,Burkburnett ISD,Burkburnett,Burkburnett Independent School District,4812120,DFW,,12120
4812150,2,,176-901,176901,176901,0.0825,6686036699,438,Burkeville ISD,Burkeville,Burkeville Independent School District,4812150,UNCATEGORIZED,,12150
4812180,7,C,126-902,126902,126902,0.5,4976508241,880,Burleson ISD,Burleson,Burleson Independent School District,4812180,DFW,2,12180
4812220,1,,027-903,027903,27903,0.195,1356015853,977,Burnet Cons ISD,Burnet Cons,Burnet Consolidated Independent School District,4812220,AUSTIN,,12220
4812240,2,,239-903,239903,239903,0.2,1664074342,419,Burton ISD,Burton,Burton Independent School District,4812240,AUSTIN,,12240
4812360,1,,109-902,109902,109902,0.1299,1272054255,232,Bynum ISD,Bynum,Bynum Independent School District,4812360,DFW,,12360
4812390,7,,116-901,116901,116901,0.5,2050499333,842,Caddo Mills ISD,Caddo Mills,Caddo Mills Independent School District,4812390,DFW,,12390
4812420,3,,178-903,178903,178903,0.243,2192348250,357,Calallen ISD,Calallen,Calallen Independent School District,4812420,CORPUS CHRISTI,,12420
4812460,7,P,026-901,026901,26901,0.21,4597626589,987,Caldwell ISD,Caldwell,Caldwell Independent School District,4812460,AUSTIN,,12460
4812480,4,,029-901,029901,29901,0.0885,1194941810,55,Calhoun County ISD,Calhoun County,Calhoun County Independent School District,4812480,CORPUS CHRISTI,,12480
4812510,1,,049-905,049905,49905,0.0985,223150307,699,Callisburg ISD,Callisburg,Callisburg Independent School District,4812510,DFW,,12510
4812540,4,,198-902,198902,198902,0.285,575334375,1014,Calvert ISD,Calvert,Calvert Independent School District,4812540,AUSTIN,,12540
4812640,3,,166-901,166901,166901,0.3521,199566336,1015,Cameron ISD,Cameron,Cameron Independent School District,4812640,AUSTIN,,12640
4812660,2,,116-910,116910,116910,0,1395090913,520,Campbell ISD,Campbell,Campbell Independent School District,4812660,DFW,,12660
4812700,1,,106-901,106901,106901,0.28,1159705907,805,Canadian ISD,Canadian,Canadian Independent School District,4812700,UNCATEGORIZED,,12700
4812750,4,,234-902,234902,234902,0,91627995,652,Canton ISD,Canton,Canton Independent School District,4812750,DFW - LUBBOCK,,12750
4812780,2,,071-907,071907,71907,0.36,6822548168,891,Canutillo ISD,Canutillo,Canutillo Independent School District,4812780,UNCATEGORIZED,,12780
4812810,7,,191-901,191901,191901,0.2854,173043686,25,Canyon ISD,Canyon,Canyon Independent School District,4812810,DFW - LUBBOCK,,12810
4812870,3,,201-913,201913,201913,0.36,9099316867,657,Carlisle ISD,Carlisle,Carlisle Independent School District,4812870,DFW,,12870
4812990,4,,064-903,064903,64903,0.4,87974658,687,Carrizo Springs Cons ISD,Carrizo Springs Cons,Carrizo Springs Consolidated Independent School District,4812990,HOUSTON,,12990
4813020,2,,220-919,220919,220919,0.2,5108658103,857,Carroll ISD,Carroll,Carroll Independent School District,4813020,DFW,,13020
4813050,4,,057-903,057903,57903,0.2,5108658103,972,Carrollton-Farmers Branch ISD,Carrollton-Farmers Branch,Carrollton-Farmers Branch Independent School District,4813050,DFW,,13050
4813110,2,,183-902,183902,183902,0.23,1276837776,221,Carthage ISD,Carthage,Carthage Independent School District,4813110,DFW,,13110
4813170,5,,220-917,220917,220917,0.5,424540543,867,Castleberry ISD,Castleberry,Castleberry Independent School District,4813170,DFW,,13170
4813200,1,,001-902,001902,1902,0,4995711289,532,Cayuga ISD,Cayuga,Cayuga Independent School District,4813200,DFW,,13200
4813230,3,,057-904,057904,57904,0.336,264096898,846,Cedar Hill ISD,Cedar Hill,Cedar Hill Independent School District,4813230,DFW,,13230
4813260,6,,116-902,116902,116902,0.2278,4005912130,754,Celeste ISD,Celeste,Celeste Independent School District,4813260,DFW,,13260
4813290,7,,043-903,043903,43903,0.5,713686590,996,Celina ISD,Celina,Celina Independent School District,4813290,DFW,,13290
4813320,6,,210-901,210901,210901,0,7296780624,241,Center ISD,Center,Center Independent School District,4813320,DFW - LUBBOCK,,13320
4813350,6,,133-901,133901,133901,0,496331802,401,Center Point ISD,Center Point,Center Point Independent School District,4813350,SAN ANTONIO,,13350
4813380,2,,228-904,228904,228904,0.1817,542667897,21,Centerville ISD (Trinity),Centerville (Trinity),Centerville Independent School District,4813380,HOUSTON,,13380
4813410,4,,145-902,145902,145902,0,179990238,273,Centerville ISD (Leon),Centerville (Leon),Centerville Independent School District,4813410,HOUSTON,,13410
4813440,4,,174-908,174908,174908,0.167,4608064722,429,Central Heights ISD,Central Heights,Central Heights Independent School District,4813440,HOUSTON,,13440
4813500,3,p,003-907,003907,3907,0.216,418355191,216,Central ISD,Central,Central Independent School District,4813500,SAN ANTONIO,,13500
4813530,2,,100-907,100907,100907,0.28,654139467,965,Lumberton ISD,Lumberton,Lumberton Independent School District,4813530,HOUSTON,,13530
4813590,6,,101-905,101905,101905,0.4139,208789049,15,Channelview ISD,Channelview,Channelview Independent School District,4813590,HOUSTON,,13590
4813620,6,,103-901,103901,103901,0.0278,1598180299,581,Channing ISD,Channing,Channing Independent School District,4813620,UNCATEGORIZED,,13620
4813650,2,,212-909,212909,212909,0.11,194540523,717,Chapel Hill ISD (Smith),Chapel Hill (Smith),Chapel Hill Independent School District,4813650,DFW,,13650
4813680,3,,225-906,225906,225906,0.11,194540523,26,Chapel Hill ISD (Titus),Chapel Hill (Titus),Chapel Hill Independent School District,4813680,DFW,,13680
4813710,1,c,007-901,007901,7901,0.1894,90403064,406,Charlotte ISD,Charlotte,Charlotte Independent School District,4813710,SAN ANTONIO,1,13710
4813740,7,,206-903,206903,206903,0,97201550,106,Cherokee ISD,Cherokee,Cherokee Independent School District,4813740,AUSTIN,,13740
4813770,2,,229-906,229906,229906,0,1084431450,943,Chester ISD,Chester,Chester Independent School District,4813770,HOUSTON,,13770
4813800,2,,249-904,249904,249904,0.1404,507914069,744,Chico ISD,Chico,Chico Independent School District,4813800,DFW,,13800
4813860,1,,038-901,038901,38901,0,325414200,498,Childress ISD,Childress,Childress Independent School District,4813860,DFW - LUBBOCK,,13860
4813890,3,,099-902,099902,99902,0.33,141503526,217,Chillicothe ISD,Chillicothe,Chillicothe Independent School District,4813890,DFW,,13890
4813920,1,,073-901,073901,73901,0.1825,1290393970,792,Chilton ISD,Chilton,Chilton Independent School District,4813920,AUSTIN,,13920
4813960,3,,161-920,161920,161920,0.4,87974658,832,China Spring ISD,China Spring,China Spring Independent School District,4813960,HOUSTON,,13960
4813980,3,,174-901,174901,174901,0,1277706246,816,Chireno ISD,Chireno,Chireno Independent School District,4813980,DFW,,13980
4814010,5,,226-901,226901,226901,0,703629506,415,Christoval ISD,Christoval,Christoval Independent School District,4814010,UNCATEGORIZED,,14010
4814070,6,,067-902,067902,67902,0,249638515,495,Cisco ISD,Cisco,Cisco Independent School District,4814070,UNCATEGORIZED,,14070
4814130,4,,243-906,243906,243906,0.32,227451764,624,City View ISD,City View,City View Independent School District,4814130,DFW,,14130
4814160,2,,065-901,065901,65901,0,279477694,422,Clarendon ISD,Clarendon,Clarendon Independent School District,4814160,DFW - LUBBOCK,,14160
4814190,6,,194-904,194904,194904,0.28,322143020,391,Clarksville ISD,Clarksville,Clarksville Independent School District,4814190,DFW,,14190
4814250,1,,006-902,006902,6902,0.06,30427433597,463,Claude ISD,Claude,Claude Independent School District,4814250,DFW - LUBBOCK,,14250
4814280,1,,084-910,084910,84910,0.27,3767151464,569,Clear Creek ISD,Clear Creek,Clear Creek Independent School District,4814280,HOUSTON,,14280
4814310,6,,126-903,126903,126903,0.4544,3873946168,819,Cleburne ISD,Cleburne,Cleburne Independent School District,4814310,DFW,,14310
4814370,7,,146-901,146901,146901,0.3572,876771375,459,Cleveland ISD,Cleveland,Cleveland Independent School District,4814370,HOUSTON,,14370
4814400,4,,018-901,018901,18901,0.195,1818657052,822,Clifton ISD,Clifton,Clifton Independent School District,4814400,DFW,,14400
4814430,7,,071-901,071901,71901,0.38,661421143,1007,Clint ISD,Clint,Clint Independent School District,4814430,UNCATEGORIZED,,14430
4814450,5,,030-902,030902,30902,0.3397,1573979589,280,Clyde Cons ISD,Clyde Cons,Clyde Consolidated Independent School District,4814450,UNCATEGORIZED,,14450
4814490,6,,114-902,114902,114902,0.28,1959448129,279,Coahoma ISD,Coahoma,Coahoma Independent School District,4814490,DFW - LUBBOCK,,14490
4814520,2,,204-901,204901,204901,0.4,87974658,937,Coldspring-Oakhurst Cons ISD,Coldspring-Oakhurst Cons,Coldspring-Oakhurst Consolidated Independent School District,4814520,HOUSTON,,14520
4814550,4,,042-901,042901,42901,0,13811439361,398,Coleman ISD,Coleman,Coleman Independent School District,4814550,AUSTIN,,14550
4814580,2,,091-902,091902,91902,0.19,180919269,803,Collinsville ISD,Collinsville,Collinsville Independent School District,4814580,DFW,,14580
4814600,4,,229-901,229901,229901,0,615025291,910,Colmesneil ISD,Colmesneil,Colmesneil Independent School District,4814600,HOUSTON,,14600
4814640,6,,168-901,168901,168901,0.382,2216350355,444,Colorado ISD,Colorado,Colorado Independent School District,4814640,DFW - LUBBOCK,,14640
4814670,2,,020-907,020907,20907,0.2003,1756526133,548,Columbia-Brazoria ISD,Columbia-Brazoria,Columbia-Brazoria Independent School District,4814670,HOUSTON,,14670
4814700,4,,045-902,045902,45902,0.16,30560695349,501,Columbus ISD,Columbus,Columbus Independent School District,4814700,HOUSTON,,14700
4814730,1,c,046-902,046902,46902,0.35,606784188,920,Comal ISD,Comal,Comal Independent School District,4814730,SAN ANTONIO,1,14730
